"id","name","code","slug","state_id","country_id","zipcode"
"res_city_1","Thành phố Vĩnh Yên","VN-70_Cvinh-yen","vinh-yen","VN-70","VN","15000"
"res_city_2","Thành phố Phúc Yên","VN-70_Cphuc-yen","phuc-yen","VN-70","VN","15000"
"res_city_3","Thành phố Ninh Bình","VN-18_Cninh-binh","ninh-binh","VN-18","VN","08000"
"res_city_4","Thành phố Tam Điệp","VN-18_Ctam-diep","tam-diep","VN-18","VN","08000"
"res_city_5","Thành phố Cà Mau","VN-59_Cca-mau","ca-mau","VN-59","VN","98000"
"res_city_6","Thành phố Vinh","VN-22_Cvinh","vinh","VN-22","VN","43000"
"res_city_7","Thành phố Vĩnh Long","VN-49_Cvinh-long","vinh-long","VN-49","VN","85000"
"res_city_8","Thành Phố Đồng Hới","VN-24_Cdong-hoi","dong-hoi","VN-24","VN","47000"
"res_city_9","Thành phố Cao Lãnh","VN-45_Ccao-lanh","cao-lanh","VN-45","VN","81000"
"res_city_10","Thành phố Sa Đéc","VN-45_Csa-dec","sa-dec","VN-45","VN","81000"
"res_city_11","Thành phố Hồng Ngự","VN-45_Chong-ngu","hong-ngu","VN-45","VN","81000"
"res_city_12","Thành phố Lai Châu","VN-01_Clai-chau","lai-chau","VN-01","VN","30000"
"res_city_13","Thành phố Hưng Yên","VN-66_Chung-yen","hung-yen","VN-66","VN","17000"
"res_city_14","Thành phố Lạng Sơn","VN-09_Clang-son","lang-son","VN-09","VN","25000"
"res_city_15","Thành phố Biên Hòa","VN-39_Cbien-hoa","bien-hoa","VN-39","VN","76000"
"res_city_16","Thành phố Long Khánh","VN-39_Clong-khanh","long-khanh","VN-39","VN","76000"
"res_city_17","Thành phố Mỹ Tho","VN-46_Cmy-tho","my-tho","VN-46","VN","84000"
"res_city_18","Thành phố Tuy Hoà","VN-32_Ctuy-hoa","tuy-hoa","VN-32","VN","56000"
"res_city_19","Thành phố Yên Bái","VN-06_Cyen-bai","yen-bai","VN-06","VN","33000"
"res_city_20","Thành phố Thủ Dầu Một","VN-57_Cthu-dau-mot","thu-dau-mot","VN-57","VN","75000"
"res_city_21","Thành phố Dĩ An","VN-57_Cdi-an","di-an","VN-57","VN","75000"
"res_city_22","Thành phố Thuận An","VN-57_Cthuan-an","thuan-an","VN-57","VN","75000"
"res_city_23","Thành phố Tam Kỳ","VN-27_Ctam-ky","tam-ky","VN-27","VN","51000"
"res_city_24","Thành phố Hội An","VN-27_Choi-an","hoi-an","VN-27","VN","51000"
"res_city_25","Thành phố Điện Biên Phủ","VN-71_Cdien-bien-phu","dien-bien-phu","VN-71","VN","32000"
"res_city_26","Thành phố Kon Tum","VN-28_Ckon-tum","kon-tum","VN-28","VN","60000"
"res_city_27","Thành phố Bạc Liêu","VN-55_Cbac-lieu","bac-lieu","VN-55","VN","97000"
"res_city_28","Thành phố Buôn Ma Thuột","VN-33_Cbuon-ma-thuot","buon-ma-thuot","VN-33","VN","63000"
"res_city_29","Thành phố Long Xuyên","VN-44_Clong-xuyen","long-xuyen","VN-44","VN","90000"
"res_city_30","Thành phố Châu Đốc","VN-44_Cchau-doc","chau-doc","VN-44","VN","90000"
"res_city_31","Thành phố Thanh Hóa","VN-21_Cthanh-hoa","thanh-hoa","VN-21","VN","40000"
"res_city_32","Thành phố Sầm Sơn","VN-21_Csam-son","sam-son","VN-21","VN","40000"
"res_city_33","Thành phố Quảng Ngãi","VN-29_Cquang-ngai","quang-ngai","VN-29","VN","53000"
"res_city_34","Thành phố Tây Ninh","VN-37_Ctay-ninh","tay-ninh","VN-37","VN","80000"
"res_city_35","Thành phố Bắc Giang","VN-54_Cbac-giang","bac-giang","VN-54","VN","26000"
"res_city_36","Thành phố Thủ Đức","VN-SG_Cthu-duc","thu-duc","VN-SG","VN","70000"
"res_city_37","Thành phố Phan Rang-Tháp Chàm","VN-36_Cphan-rang-thap-cham","phan-rang-thap-cham","VN-36","VN","59000"
"res_city_38","Thành phố Tuyên Quang","VN-07_Ctuyen-quang","tuyen-quang","VN-07","VN","22000"
