"id","name","code","slug","city_id:id","state_id","country_id","zipcode"
"res_country_district_1","Huyện Lập Thạch","VN-70_C0_Dlap-thach","lap-thach","res_city_81","VN-70","VN",""
"res_country_district_2","Huyện Tam Dương","VN-70_C0_Dtam-duong","tam-duong","res_city_81","VN-70","VN",""
"res_country_district_3","Huyện Tam Đảo","VN-70_C0_Dtam-dao","tam-dao","res_city_81","VN-70","VN",""
"res_country_district_4","Huyện Bình Xuyên","VN-70_C0_Dbinh-xuyen","binh-xuyen","res_city_81","VN-70","VN",""
"res_country_district_5","Huyện Yên Lạc","VN-70_C0_Dyen-lac","yen-lac","res_city_81","VN-70","VN",""
"res_country_district_6","Huyện Vĩnh Tường","VN-70_C0_Dvinh-tuong","vinh-tuong","res_city_81","VN-70","VN",""
"res_country_district_7","Huyện Sông Lô","VN-70_C0_Dsong-lo","song-lo","res_city_81","VN-70","VN",""
"res_country_district_8","Huyện Nho Quan","VN-18_C0_Dnho-quan","nho-quan","res_city_82","VN-18","VN",""
"res_country_district_9","Huyện Gia Viễn","VN-18_C0_Dgia-vien","gia-vien","res_city_82","VN-18","VN",""
"res_country_district_10","Huyện Hoa Lư","VN-18_C0_Dhoa-lu","hoa-lu","res_city_82","VN-18","VN",""
"res_country_district_11","Huyện Yên Khánh","VN-18_C0_Dyen-khanh","yen-khanh","res_city_82","VN-18","VN",""
"res_country_district_12","Huyện Kim Sơn","VN-18_C0_Dkim-son","kim-son","res_city_82","VN-18","VN",""
"res_country_district_13","Huyện Yên Mô","VN-18_C0_Dyen-mo","yen-mo","res_city_82","VN-18","VN",""
"res_country_district_14","Huyện U Minh","VN-59_C0_Du-minh","u-minh","res_city_83","VN-59","VN",""
"res_country_district_15","Huyện Thới Bình","VN-59_C0_Dthoi-binh","thoi-binh","res_city_83","VN-59","VN",""
"res_country_district_16","Huyện Trần Văn Thời","VN-59_C0_Dtran-van-thoi","tran-van-thoi","res_city_83","VN-59","VN",""
"res_country_district_17","Huyện Cái Nước","VN-59_C0_Dcai-nuoc","cai-nuoc","res_city_83","VN-59","VN",""
"res_country_district_18","Huyện Đầm Dơi","VN-59_C0_Ddam-doi","dam-doi","res_city_83","VN-59","VN",""
"res_country_district_19","Huyện Năm Căn","VN-59_C0_Dnam-can","nam-can","res_city_83","VN-59","VN",""
"res_country_district_20","Huyện Phú Tân","VN-59_C0_Dphu-tan","phu-tan","res_city_83","VN-59","VN",""
"res_country_district_21","Huyện Ngọc Hiển","VN-59_C0_Dngoc-hien","ngoc-hien","res_city_83","VN-59","VN",""
"res_country_district_22","Huyện Quế Phong","VN-22_C0_Dque-phong","que-phong","res_city_84","VN-22","VN",""
"res_country_district_23","Huyện Quỳ Châu","VN-22_C0_Dquy-chau","quy-chau","res_city_84","VN-22","VN",""
"res_country_district_24","Huyện Kỳ Sơn","VN-22_C0_Dky-son","ky-son","res_city_84","VN-22","VN",""
"res_country_district_25","Huyện Tương Dương","VN-22_C0_Dtuong-duong","tuong-duong","res_city_84","VN-22","VN",""
"res_country_district_26","Huyện Nghĩa Đàn","VN-22_C0_Dnghia-dan","nghia-dan","res_city_84","VN-22","VN",""
"res_country_district_27","Huyện Quỳ Hợp","VN-22_C0_Dquy-hop","quy-hop","res_city_84","VN-22","VN",""
"res_country_district_28","Huyện Quỳnh Lưu","VN-22_C0_Dquynh-luu","quynh-luu","res_city_84","VN-22","VN",""
"res_country_district_29","Huyện Con Cuông","VN-22_C0_Dcon-cuong","con-cuong","res_city_84","VN-22","VN",""
"res_country_district_30","Huyện Tân Kỳ","VN-22_C0_Dtan-ky","tan-ky","res_city_84","VN-22","VN",""
"res_country_district_31","Huyện Anh Sơn","VN-22_C0_Danh-son","anh-son","res_city_84","VN-22","VN",""
"res_country_district_32","Huyện Diễn Châu","VN-22_C0_Ddien-chau","dien-chau","res_city_84","VN-22","VN",""
"res_country_district_33","Huyện Yên Thành","VN-22_C0_Dyen-thanh","yen-thanh","res_city_84","VN-22","VN",""
"res_country_district_34","Huyện Đô Lương","VN-22_C0_Ddo-luong","do-luong","res_city_84","VN-22","VN",""
"res_country_district_35","Huyện Thanh Chương","VN-22_C0_Dthanh-chuong","thanh-chuong","res_city_84","VN-22","VN",""
"res_country_district_36","Huyện Nghi Lộc","VN-22_C0_Dnghi-loc","nghi-loc","res_city_84","VN-22","VN",""
"res_country_district_37","Huyện Nam Đàn","VN-22_C0_Dnam-dan","nam-dan","res_city_84","VN-22","VN",""
"res_country_district_38","Huyện Hưng Nguyên","VN-22_C0_Dhung-nguyen","hung-nguyen","res_city_84","VN-22","VN",""
"res_country_district_39","Huyện Long Hồ","VN-49_C0_Dlong-ho","long-ho","res_city_85","VN-49","VN",""
"res_country_district_40","Huyện Mang Thít","VN-49_C0_Dmang-thit","mang-thit","res_city_85","VN-49","VN",""
"res_country_district_41","Huyện Vũng Liêm","VN-49_C0_Dvung-liem","vung-liem","res_city_85","VN-49","VN",""
"res_country_district_42","Huyện Tam Bình","VN-49_C0_Dtam-binh","tam-binh","res_city_85","VN-49","VN",""
"res_country_district_43","Huyện Trà Ôn","VN-49_C0_Dtra-on","tra-on","res_city_85","VN-49","VN",""
"res_country_district_44","Huyện Bình Tân","VN-49_C0_Dbinh-tan","binh-tan","res_city_85","VN-49","VN",""
"res_country_district_45","Huyện Minh Hóa","VN-24_C0_Dminh-hoa","minh-hoa","res_city_86","VN-24","VN",""
"res_country_district_46","Huyện Tuyên Hóa","VN-24_C0_Dtuyen-hoa","tuyen-hoa","res_city_86","VN-24","VN",""
"res_country_district_47","Huyện Quảng Trạch","VN-24_C0_Dquang-trach","quang-trach","res_city_86","VN-24","VN",""
"res_country_district_48","Huyện Bố Trạch","VN-24_C0_Dbo-trach","bo-trach","res_city_86","VN-24","VN",""
"res_country_district_49","Huyện Quảng Ninh","VN-24_C0_Dquang-ninh","quang-ninh","res_city_86","VN-24","VN",""
"res_country_district_50","Huyện Lệ Thủy","VN-24_C0_Dle-thuy","le-thuy","res_city_86","VN-24","VN",""
"res_country_district_51","Quận Hồng Bàng","VN-HP_C0_Dhong-bang","hong-bang","res_city_87","VN-HP","VN",""
"res_country_district_52","Quận Ngô Quyền","VN-HP_C0_Dngo-quyen","ngo-quyen","res_city_87","VN-HP","VN",""
"res_country_district_53","Quận Lê Chân","VN-HP_C0_Dle-chan","le-chan","res_city_87","VN-HP","VN",""
"res_country_district_54","Quận Hải An","VN-HP_C0_Dhai-an","hai-an","res_city_87","VN-HP","VN",""
"res_country_district_55","Quận Kiến An","VN-HP_C0_Dkien-an","kien-an","res_city_87","VN-HP","VN",""
"res_country_district_56","Quận Đồ Sơn","VN-HP_C0_Ddo-son","do-son","res_city_87","VN-HP","VN",""
"res_country_district_57","Quận Dương Kinh","VN-HP_C0_Dduong-kinh","duong-kinh","res_city_87","VN-HP","VN",""
"res_country_district_58","Huyện Thuỷ Nguyên","VN-HP_C0_Dthuy-nguyen","thuy-nguyen","res_city_87","VN-HP","VN",""
