"id","code","slug","name","district_id:id","city_id:id","state_id","country_id"
"res_country_ward_1","VN-68_C0_Dlam-thao_Wtien-kien","tien-kien","Xã Tiên Kiên","res_country_district_425","res_city_124","VN-68","VN"
"res_country_ward_2","VN-68_C0_Dlam-thao_Wxuan-lung","xuan-lung","Xã Xuân Lũng","res_country_district_425","res_city_124","VN-68","VN"
"res_country_ward_3","VN-68_C0_Dlam-thao_Wxuan-huy","xuan-huy","Xã Xuân Huy","res_country_district_425","res_city_124","VN-68","VN"
"res_country_ward_4","VN-68_C0_Dlam-thao_Wthach-son","thach-son","Xã Thạch Sơn","res_country_district_425","res_city_124","VN-68","VN"
"res_country_ward_5","VN-68_C0_Dlam-thao_Wson-vi","son-vi","Xã Sơn Vi","res_country_district_425","res_city_124","VN-68","VN"
"res_country_ward_6","VN-68_C0_Dlam-thao_Wphung-nguyen","phung-nguyen","Xã Phùng Nguyên","res_country_district_425","res_city_124","VN-68","VN"
"res_country_ward_7","VN-68_C0_Dlam-thao_Wcao-xa","cao-xa","Xã Cao Xá","res_country_district_425","res_city_124","VN-68","VN"
"res_country_ward_8","VN-68_C0_Dlam-thao_Wvinh-lai","vinh-lai","Xã Vĩnh Lại","res_country_district_425","res_city_124","VN-68","VN"
"res_country_ward_9","VN-68_C0_Dlam-thao_Wtu-xa","tu-xa","Xã Tứ Xã","res_country_district_425","res_city_124","VN-68","VN"
"res_country_ward_10","VN-68_C0_Dlam-thao_Wban-nguyen","ban-nguyen","Xã Bản Nguyên","res_country_district_425","res_city_124","VN-68","VN"
"res_country_ward_11","VN-31_C0_Dvan-canh_Wcanh-lien","canh-lien","Xã Canh Liên","res_country_district_410","res_city_122","VN-31","VN"
"res_country_ward_12","VN-31_C0_Dvan-canh_Wcanh-hiep","canh-hiep","Xã Canh Hiệp","res_country_district_410","res_city_122","VN-31","VN"
"res_country_ward_13","VN-31_C0_Dvan-canh_Wcanh-vinh","canh-vinh","Xã Canh Vinh","res_country_district_410","res_city_122","VN-31","VN"
"res_country_ward_14","VN-31_C0_Dvan-canh_Wcanh-hien","canh-hien","Xã Canh Hiển","res_country_district_410","res_city_122","VN-31","VN"
"res_country_ward_15","VN-31_C0_Dvan-canh_Wcanh-thuan","canh-thuan","Xã Canh Thuận","res_country_district_410","res_city_122","VN-31","VN"
"res_country_ward_16","VN-31_C0_Dvan-canh_Wcanh-hoa","canh-hoa","Xã Canh Hòa","res_country_district_410","res_city_122","VN-31","VN"
"res_country_ward_17","VN-24_C0_Dminh-hoa_Wdan-hoa","dan-hoa","Xã Dân Hóa","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_18","VN-24_C0_Dminh-hoa_Wtrong-hoa","trong-hoa","Xã Trọng Hóa","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_19","VN-24_C0_Dminh-hoa_Whoa-phuc","hoa-phuc","Xã Hóa Phúc","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_20","VN-24_C0_Dminh-hoa_Whong-hoa","hong-hoa","Xã Hồng Hóa","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_21","VN-24_C0_Dminh-hoa_Whoa-thanh","hoa-thanh","Xã Hóa Thanh","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_22","VN-24_C0_Dminh-hoa_Whoa-tien","hoa-tien","Xã Hóa Tiến","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_23","VN-24_C0_Dminh-hoa_Whoa-hop","hoa-hop","Xã Hóa Hợp","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_24","VN-24_C0_Dminh-hoa_Wxuan-hoa","xuan-hoa","Xã Xuân Hóa","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_25","VN-24_C0_Dminh-hoa_Wyen-hoa","yen-hoa","Xã Yên Hóa","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_26","VN-24_C0_Dminh-hoa_Wminh-hoa","minh-hoa","Xã Minh Hóa","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_27","VN-24_C0_Dminh-hoa_Wtan-hoa","tan-hoa","Xã Tân Hóa","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_28","VN-24_C0_Dminh-hoa_Whoa-son","hoa-son","Xã Hóa Sơn","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_29","VN-24_C0_Dminh-hoa_Wtrung-hoa","trung-hoa","Xã Trung Hóa","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_30","VN-24_C0_Dminh-hoa_Wthuong-hoa","thuong-hoa","Xã Thượng Hóa","res_country_district_45","res_city_86","VN-24","VN"
"res_country_ward_31","VN-18_C0_Dyen-mo_Wkhanh-thuong","khanh-thuong","Xã Khánh Thượng","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_32","VN-18_C0_Dyen-mo_Wkhanh-duong","khanh-duong","Xã Khánh Dương","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_33","VN-18_C0_Dyen-mo_Wmai-son","mai-son","Xã Mai Sơn","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_34","VN-18_C0_Dyen-mo_Wkhanh-thinh","khanh-thinh","Xã Khánh Thịnh","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_35","VN-18_C0_Dyen-mo_Wyen-phong","yen-phong","Xã Yên Phong","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_36","VN-18_C0_Dyen-mo_Wyen-hoa","yen-hoa","Xã Yên Hòa","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_37","VN-18_C0_Dyen-mo_Wyen-thang","yen-thang","Xã Yên Thắng","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_38","VN-18_C0_Dyen-mo_Wyen-tu","yen-tu","Xã Yên Từ","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_39","VN-18_C0_Dyen-mo_Wyen-hung","yen-hung","Xã Yên Hưng","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_40","VN-18_C0_Dyen-mo_Wyen-thanh","yen-thanh","Xã Yên Thành","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_41","VN-18_C0_Dyen-mo_Wyen-nhan","yen-nhan","Xã Yên Nhân","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_42","VN-18_C0_Dyen-mo_Wyen-my","yen-my","Xã Yên Mỹ","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_43","VN-18_C0_Dyen-mo_Wyen-mac","yen-mac","Xã Yên Mạc","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_44","VN-18_C0_Dyen-mo_Wyen-dong","yen-dong","Xã Yên Đồng","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_45","VN-18_C0_Dyen-mo_Wyen-thai","yen-thai","Xã Yên Thái","res_country_district_13","res_city_82","VN-18","VN"
"res_country_ward_46","VN-18_C0_Dyen-mo_Wyen-lam","yen-lam","Xã Yên Lâm","res_country_district_13","res_city_82","VN-18","VN"
